rha_replacement_pct,water_binder_ratio,mean_particle_size,fineness_passing_45um_pct,cement_kg_m3,fine_aggregate,coarse_aggregate,silica_content,calcium_dioxide,rcpt_28
0.0,0.35,15.21,96.5,600.0,477.0,1113.0,0.0,0.0,
0.0,0.36,,,300.0,249.0,759.0,,,
0.0,0.35,,,300.0,234.0,708.0,,,
0.0,0.4,,,500.0,780.0,820.0,,,
0.0,0.4,,,450.0,796.5,846.0,,,
0.0,0.4,,,400.0,828.0,868.0,,,
0.0,0.4,,,350.0,847.0,900.0,,,
0.0,0.24,,,571.0,612.0,1088.0,,,
0.0,0.45,,,300.0,600.0,1200.0,,,
0.0,0.4,,,390.0,713.0,1079.0,,,
0.0,0.35,12.0,,571.0,633.0,933.0,0.0,,
0.0,0.89,60.0,,220.0,980.0,1060.0,0.0,0.0,
0.0,0.65,60.0,,270.0,873.0,1112.0,0.0,0.0,
0.0,0.6,60.0,,298.0,842.0,1115.0,0.0,0.0,
0.0,0.58,60.0,,321.0,812.0,1122.0,0.0,0.0,
0.0,0.3,12.0,70.0,533.0,1075.0,660.0,0.0,0.0,
0.0,0.45,,,410.0,620.0,1200.0,0.0,0.0,
0.0,0.45,,92.0,420.0,815.0,995.0,0.0,0.0,4517.0
0.0,0.63,7.5,78.13,325.0,900.0,940.0,0.0,0.0,
0.0,0.63,7.5,78.13,325.0,900.0,940.0,0.0,0.0,
0.0,0.4,7.0,99.0,392.0,686.0,1121.0,0.0,0.0,
0.0,0.4,7.0,99.0,385.0,674.0,1102.0,0.0,0.0,
0.0,0.4,7.0,99.0,386.0,676.0,1105.0,0.0,0.0,
0.0,0.53,,,400.0,600.0,1200.0,0.0,0.0,1161.0
0.0,0.38,,,500.0,745.0,945.0,0.0,0.0,
0.0,0.5,,,380.0,815.0,995.0,0.0,0.0,
0.0,0.36,,,380.0,815.0,995.0,0.0,0.0,
0.0,0.6,9.0,97.0,350.0,844.0,854.0,0.0,,
0.0,0.35,9.0,97.0,488.0,632.0,1076.0,0.0,0.0,
0.0,0.5,,,359.0,739.0,1055.0,0.0,0.0,
0.0,0.65,,,284.0,802.0,1043.0,0.0,0.0,
0.0,0.43,7.0,96.0,420.0,621.0,1108.0,0.0,0.0,910.0
0.0,0.35,7.0,96.0,474.0,636.0,1113.0,0.0,0.0,955.0
0.0,0.43,7.0,96.0,420.0,621.0,1108.0,0.0,0.0,1744.0
0.0,0.35,7.0,96.0,474.0,636.0,1113.0,0.0,0.0,2434.0
0.0,0.4,,85.0,461.25,582.0,1204.0,0.0,0.0,
0.0,0.5,,85.0,369.0,608.13,1253.45,0.0,0.0,
0.0,0.6,,85.0,307.5,623.79,1287.9,0.0,0.0,
0.0,,,,,,,0.0,0.0,
0.0,0.5,,,390.0,569.0,1164.0,0.0,,2366.0
0.0,0.4,95.0,42.0,450.0,492.0,1148.0,0.0,0.0,
0.0,0.3,,100.0,550.0,490.0,1200.0,0.0,0.0,
0.0,0.33,,100.0,500.0,510.0,1240.0,0.0,0.0,
0.0,0.36,,100.0,450.0,530.0,1280.0,0.0,0.0,
0.0,0.44,,100.0,350.0,560.0,1345.0,0.0,0.0,
0.0,0.5,,,300.0,450.0,900.0,,,
0.0,0.35,,,600.0,477.0,1113.0,0.0,0.0,
0.0,0.55,,,348.36,572.74,1189.5,0.0,0.0,
0.0,0.53,3.8,,383.0,575.0,1150.0,0.0,0.0,2250.0
0.0,0.65,,,342.86,685.71,1371.42,0.0,,
0.0,0.45,42.0,48.0,267.0,486.0,1537.0,0.0,0.0,
0.0,0.5,42.0,48.0,267.0,486.0,1537.0,0.0,0.0,
0.0,0.55,42.0,48.0,267.0,486.0,1537.0,0.0,0.0,
0.0,0.5,,,400.0,800.0,1600.0,,,
0.0,0.4,,100.0,390.0,713.0,1079.0,,,
0.0,0.3,42.0,48.0,530.0,458.0,1302.0,0.0,,
0.0,0.35,42.0,48.0,530.0,458.0,1302.0,0.0,,
0.0,0.35,42.0,48.0,425.0,446.0,1419.0,0.0,,
0.0,0.4,42.0,48.0,425.0,446.0,1419.0,0.0,,
0.0,0.45,42.0,48.0,425.0,446.0,1419.0,0.0,,
0.0,0.5,42.0,48.0,425.0,446.0,1419.0,0.0,,
0.0,0.55,42.0,48.0,425.0,446.0,1419.0,0.0,,
0.0,0.5,23.397,96.14,460.0,785.0,800.0,0.0,0.0,
0.0,0.5,20.948,95.96,460.0,785.0,800.0,0.0,0.0,
0.0,0.5,15.804,95.77,460.0,785.0,800.0,0.0,0.0,
0.0,0.35,,,488.0,632.0,1076.0,0.0,0.0,1039.0
0.0,0.5,,,359.0,739.0,1055.0,0.0,0.0,1482.0
0.0,0.65,,,284.0,802.0,1043.0,0.0,0.0,1770.0
