rha_replacement_pct,water_binder_ratio,mean_particle_size,fineness_passing_45um_pct,cement_kg_m3,fine_aggregate,coarse_aggregate,silica_content,calcium_dioxide,split_tensile_strength
10,0.56,0,,375,625,1202,,,
0,0.53,3.8,,383,575,1150,0,0,4.518134759
5,0.53,3.8,99,364,575,1150,4.366,0.024,4.65
5,0.53,3.8,,364,575,1150,4.366,0.024,4.725388636
10,0.53,3.8,99,345,575,1150,8.732,0.048,4.76
10,0.53,3.8,,345,575,1150,8.732,0.048,4.808290108
15,0.53,3.8,99,326,575,1150,13.098,0.072,4.97
15,0.53,3.8,,326,575,1150,13.098,0.072,5.015543985
20,0.53,3.8,99,306,575,1150,17.464,0.096,5
20,0.53,3.8,,306,575,1150,17.464,0.096,5.098445259
25,0.53,3.8,99,287,575,1150,21.83,0.12,4.69
25,0.53,3.8,,287,575,1150,21.83,0.12,4.756476638
30,0.53,3.8,99,268,575,1150,26.196,0.144,4.44
30,0.53,3.8,,268,575,1150,26.196,0.144,4.476683628
35,0.53,3.8,99,249,575,1150,30.562,0.168,
35,0.53,3.8,,249,575,1150,30.562,0.168,
0,0.55,4.85,99,347,548,1260,0,0,
0,0.53,4.85,99,383,575,1150,0,0,4.49
5,0.55,4.85,99,330,548,1260,4.366,0.024,
5,0.53,4.85,99,364,575,1150,4.366,0.024,4.7
10,0.55,4.85,99,312,548,1260,8.732,0.048,
10,0.53,4.85,99,345,575,1150,8.732,0.048,4.76
15,0.55,4.85,99,295,548,1260,13.098,0.072,
15,0.53,4.85,99,326,575,1150,13.098,0.072,5
20,0.55,4.85,99,278,548,1260,17.464,0.096,
20,0.53,4.85,99,306,575,1150,17.464,0.096,5.05
25,0.55,4.85,99,260,548,1260,21.83,0.12,
25,0.53,4.85,99,287,575,1150,21.83,0.12,4.7
30,0.55,4.85,99,243,548,1260,26.196,0.144,
30,0.53,4.85,99,268,575,1150,26.196,0.144,4.45
35,0.53,4.85,99,249,575,1150,30.562,0.168,
5,0.4,5,97,428,492,1148,4.393,0.065,
10,0.62,5,,337.5,625,1202,,,
10,0.62,5,,337.5,625,1202,,,
10,0.62,5,,337.5,625,1202,,,
10,0.62,5,,337.5,625,1202,,,
10,0.4,5,97,405,492,1148,8.786,0.13,
15,0.4,5,97,383,492,1148,13.179,0.195,
20,0.4,5,97,360,492,1148,17.572,0.26,
0,0.54,5.21,100,350,680,1040,0,,
10,0.54,5.21,100,315,680,1040,8.673,,
15,0.54,5.21,100,297.5,680,1040,13.0095,,
20,0.54,5.21,100,280,680,1040,17.346,,
0,0.3,5.69,100,560,725,1000,0,0,58.93
5,0.3,5.69,100,532,725,1000,4.145,0.1145,63.39
10,0.3,5.69,100,504,725,1000,8.29,0.229,68.09
15,0.3,5.69,100,476,725,1000,12.435,0.3435,65.09
20,0.3,5.69,100,448,725,1000,16.58,0.458,58.53
25,0.3,5.69,100,420,725,1000,20.725,0.5725,56.07
30,0.3,5.69,100,392,725,1000,24.87,0.687,52.18
0,0.45,6,93,420,621,1108,0,0,
0,0.3,6,100,492.7,842.2,846.3,0,,
0,0.35,6,100,422.3,871.8,876.1,0,,
0,0.4,6,100,369.5,894,898.4,0,,
0,0.5,6,100,296.8,923.7,928.3,0,,
0,0.5,6,100,334.8,935.5,940.1,0,,
5,0.45,6,93,399,852,1108,4.31,0.0265,
5,0.35,6,100,401.2,867.1,871.4,4.68,,
10,0.45,6,93,378,542,1108,8.62,0.053,
10,0.35,6,100,380.1,862.4,866.7,9.36,,
15,0.45,6,93,357,503,1108,12.93,0.0795,
15,0.3,6,100,418.8,825.8,829.9,14.04,,
15,0.35,6,100,359,857.8,862,14.04,,
15,0.4,6,100,314.1,881.7,886,14.04,,
20,0.3,6,100,394.2,820.3,824.4,18.72,,
20,0.35,6,100,337.8,853.1,857.3,18.72,,
20,0.4,6,100,295.6,877.6,881.9,18.72,,
25,0.35,6,100,316.7,848.4,852.6,23.4,,
30,0.35,6,100,295.6,843.7,847.9,28.08,,
0,0.5,6.57,,380,755,685,0,0,2.77
5,0.5,6.57,,361,755,685,4.125,0.031,2.77
10,0.5,6.57,,342,755,685,8.25,0.062,2.9
15,0.5,6.57,,323,755,685,12.375,0.093,3
20,0.5,6.57,,304,755,685,16.5,0.124,2.99
25,0.5,6.57,,285,755,685,20.625,0.155,2.81
30,0.5,6.57,,266,755,685,24.75,0.186,2.69
7.5,0.4,6.8,98.4,352,745,1140,6.6825,0.045,
10,0.4,6.8,98.4,342,740,1140,8.91,0.06,
12.5,0.4,6.8,98.4,333,735,1140,11.1375,0.075,
0,0.4,7,99,392,686,1121,0,0,
0,0.4,7,99,385,674,1102,0,0,2.7
0,0.4,7,99,386,676,1105,0,0,
0,0.43,7,96,420,621,1108,0,0,
0,0.35,7,96,474,636,1113,0,0,
0,0.43,7,96,420,621,1108,0,0,
0,0.35,7,96,474,636,1113,0,0,
5,0.4,7,99,369,677,1105,4.36,0.0275,
5,0.43,7,96,399,582,1108,4.36,0.0275,
5,0.35,7,96,447,585.1,1113,4.36,0.0275,
5,0.43,7,96,399,582,1108,4.36,0.0275,
5,0.35,7,96,447,585.1,1113,4.36,0.0275,
8,0.4,7,99,360,682,1111,6.976,0.044,
10,0.4,7,99,350,676,1101,8.72,0.055,
10,0.31,7,99,398,666,1087,8.72,0.055,
10,0.4,7,99,350,676,1101,8.72,0.055,
10,0.5,7,99,304,675,1102,8.72,0.055,
10,0.4,7,99,345,667,1086,8.72,0.055,3.5
10,0.4,7,99,350,677,1102,8.72,0.055,
10,0.43,7,96,378,542,1108,8.72,0.055,
10,0.35,7,96,420,535.61,1113,8.72,0.055,
10,0.43,7,96,378,542,1108,8.72,0.055,
10,0.35,7,96,420,535.61,1113,8.72,0.055,
15,0.4,7,99,335,681,1108,13.08,0.0825,
15,0.43,7,96,357,503,1108,13.08,0.0825,
15,0.35,7,96,391,483.21,1113,13.08,0.0825,
15,0.43,7,96,357,503,1108,13.08,0.0825,
15,0.35,7,96,391,483.21,1113,13.08,0.0825,
20,0.43,7,96,336,464,1108,17.44,0.11,
20,0.35,7,96,366,433.72,1113,17.44,0.11,
20,0.43,7,96,336,464,1108,17.44,0.11,
20,0.35,7,96,366,433.72,1113,17.44,0.11,
7.5,0.4,7.15,98.2,352,745,1140,7.095,0.03,
10,0.4,7.15,98.2,342,740,1140,9.46,0.04,
12.5,0.4,7.15,98.2,333,735,1140,11.825,0.05,
7.5,0.4,7.41,97.9,352,745,1140,6.87,0.045,
10,0.4,7.41,97.9,342,740,1140,9.16,0.06,
12.5,0.4,7.41,97.9,333,735,1140,11.45,0.075,
0,0.63,7.5,78.13,325,900,940,0,0,2.4
0,0.63,7.5,78.13,325,900,940,0,0,2.3
20,0.68,7.5,78.13,260,894,930,19.34,0.098,2
20,0.63,7.5,78.13,260,900,940,19.34,0.098,
30,0.7,7.5,78.13,228,890,927,29.01,0.147,
30,0.63,7.5,78.13,228,900,940,29.01,0.147,1.7
7.5,0.4,7.63,97.7,352,745,1140,7.0275,0.045,
10,0.4,7.63,97.7,342,740,1140,9.37,0.06,
12.5,0.4,7.63,97.7,333,735,1140,11.7125,0.075,
0,0.32,8,100,534,690,1050,0,0,3.63
0,0.4,8,100,462,723,1018,0,0,
0,0.5,8,100,408,758,983,0,0,2.85
10,0.32,8,100,481,690,1050,8.72,0.055,3.57
10,0.4,8,100,416,723,1018,8.72,0.055,
10,0.5,8,100,367,758,983,8.72,0.055,2.32
10,0.32,8,100,481,690,1050,8.8,0.08,3.62
10,0.4,8,100,416,723,1018,8.8,0.08,
10,0.5,8,100,367,758,983,8.8,0.08,2.92
20,0.32,8,100,427,690,1050,17.44,0.11,3.34
20,0.4,8,100,370,723,1018,17.44,0.11,
20,0.5,8,100,327,758,983,17.44,0.11,2.63
20,0.32,8,100,427,690,1050,17.6,0.16,3.54
20,0.4,8,100,370,723,1018,17.6,0.16,
20,0.5,8,,327,758,983,17.6,0.16,3
0,0.6,9,97,350,844,854,0,,3.14
0,0.35,9,97,488,632,1076,0,0,
10,0.6,9,97,315,870,881,9.325,,2.78
20,0.6,9,97,280,865,875,18.65,,3.43
0,0.49,9.52,100,420,950,805,0,,
10,0.49,9.52,100,378,950,805,9,,
20,0.49,9.52,100,336,950,805,18,,
30,0.49,9.52,100,294,950,805,27,,
40,0.49,9.52,100,252,950,805,36,,
20,0.3,11,70,427,1030,660,18.4,0.162,
20,0.3,11,70,427,1037,660,18.4,0.21,
0,0.35,12,,571,633,933,0,,
0,0.3,12,70,533,1075,660,0,0,
0,0.53,12,100,396,844,951,0,0,
0,0.35,12,,571,633,933,0,,
0,0.3,12,,533,1075,660,,,
5,0.53,12,100,376,844,951,4.545,0.04,
10,0.23,12,,783,344,933,9.1,,
10,0.35,12,,514,608,933,9.1,,
10,0.47,12,,383,737,933,9.1,,
10,0.53,12,100,356,844,951,9.09,0.08,
10,0.23,12,,783,344,933,9.1,,
